FrameId;ReceivingTime;Fps
0;1668476945301921004;0
1;1668476945712684889;2
2;1668476946075363345;56
3;1668476946179602452;3
4;1668476946303142208;10
5;1668476946396518560;8
6;1668476946556199349;7
7;1668476946648949427;8
8;1668476946750163773;11
9;1668476946891162510;10
10;1668476947003000356;7
11;1668476947104377726;9
12;1668476947234712654;8
13;1668476947382578843;10
14;1668476947524730857;7
15;1668476947624123164;7
16;1668476947759292702;10
17;1668476947866981412;8
18;1668476947974444223;9
19;1668476948106485757;9
20;1668476948240318954;8
21;1668476948346084114;7
22;1668476948432669212;9
23;1668476948624588711;8
24;1668476948727311644;7
25;1668476948881900212;10
26;1668476949021168395;7
27;1668476949106389673;7
28;1668476949192851619;12
29;1668476949327093742;11
30;1668476949421339401;7
31;1668476949574521135;11
32;1668476949680485162;6
33;1668476949760731264;10
34;1668476949851981618;13
35;1668476949953403369;11
36;1668476950091519757;7
37;1668476950191695975;9
38;1668476950334123601;7
39;1668476950417848241;10
40;1668476950526622796;12
41;1668476950663939485;10
42;1668476950778112745;7
43;1668476950930114757;9
44;1668476951036786818;7
45;1668476951180829158;9
46;1668476951317604676;7
47;1668476951462121596;7
48;1668476951567581507;7
49;1668476951707605589;10
50;1668476951852950212;7
51;1668476951946632298;7
52;1668476952043573687;11
53;1668476952188701516;10
54;1668476952290152021;7
55;1668476952435274958;10
56;1668476952542375658;7
57;1668476952692759747;9
58;1668476953025468789;7
59;1668476953177257299;3
60;1668476953280743920;7
61;1668476953419179980;10
62;1668476953510127708;7
63;1668476953644218485;11
64;1668476953763628275;7
65;1668476953935253866;6
66;1668476954005108494;8
67;1668476954104105663;14
68;1668476954209197850;10
69;1668476954362038055;9
70;1668476954495120589;7
71;1668476954600191336;8
72;1668476954742890838;10
73;1668476954889280350;7
74;1668476954999370631;7
75;1668476955134400237;9
76;1668476955238351758;7
77;1668476955393282221;10
78;1668476955501627427;6
79;1668476955653493194;7
80;1668476955743606584;9
81;1668476955847458262;11
82;1668476955999263854;10
83;1668476956098737938;7
84;1668476956204371477;10
85;1668476956361053681;9
86;1668476956469286635;6
87;1668476956628430427;9
88;1668476956727559233;6
89;1668476956855985333;10
90;1668476957002338695;8
91;1668476957131353599;7
92;1668476957240543756;8
93;1668476957386829907;9
94;1668476957485438089;7
95;1668476957639208186;10
96;1668476957753308753;6
97;1668476957856644006;9
98;1668476958005011067;6
99;1668476958102466360;11
100;1668476958249318164;10
101;1668476958380522716;7
102;1668476958537655608;6
103;1668476958629685589;9
104;1668476958734045388;11
105;1668476958890953217;10
106;1668476958988758206;6
107;1668476959098380801;10
108;1668476959253423997;6
109;1668476959377102522;9
110;1668476959490215640;8
111;1668476959635548509;9
112;1668476959745024211;7
113;1668476959895008725;9
114;1668476959995293967;7
115;1668476960143367222;10
116;1668476960253834123;7
117;1668476960360604299;9
118;1668476960507617055;9
119;1668476960658771734;7
120;1668476960759896253;6
121;1668476960862872274;11
122;1668476960999528339;10
123;1668476961101378792;7
124;1668476961245657390;10
125;1668476961378046258;7
126;1668476961529689862;7
127;1668476961636784344;6
128;1668476961788423003;7
129;1668476961899899582;9
130;1668476962005414281;9
131;1668476962152951053;6
132;1668476962258467368;10
133;1668476962400225976;10
134;1668476962498742587;7
135;1668476962634487627;10
136;1668476962737657837;7
137;1668476962895062963;10
138;1668476962996237176;6
139;1668476963099427927;10
140;1668476963233281641;10
141;1668476963334125059;8
142;1668476963479082959;10
143;1668476963587711035;7
144;1668476963747686629;9
145;1668476963837561135;6
146;1668476963951587075;11
147;1668476964061665722;9
148;1668476964319950679;6
149;1668476964334096908;5
150;1668476964482254135;58
151;1668476964648510862;7
152;1668476964745945275;6
153;1668476964848181624;10
154;1668476964947258090;10
155;1668476965092686946;10
156;1668476965195137835;7
157;1668476965308818265;10
158;1668476965481174017;9
159;1668476965505921838;6
160;1668476965611519667;38
161;1668476965766050726;10
162;1668476965889489659;6
163;1668476966054181647;8
164;1668476966152534529;6
165;1668476966247374521;10
166;1668476966348481302;11
167;1668476966458637085;10
168;1668476966565048289;9
169;1668476966732485062;9
170;1668476966855747676;6
171;1668476966877984814;8
172;1668476966980274227;45
173;1668476967151788833;10
174;1668476967191711928;6
175;1668476967296585001;9
176;1668476967404223888;27
177;1668476967552678016;7
178;1668476967717393091;9
179;1668476967810222924;6
180;1668476967910969382;11
181;1668476968053200721;10
182;1668476968153943660;7
183;1668476968293978625;10
184;1668476968397571596;7
185;1668476968588845636;10
186;1668476968734916695;5
187;1668476968857830887;7
188;1668476969016043891;8
189;1668476969127380162;6
190;1668476969274506001;9
191;1668476969460226822;7
192;1668476969581338267;5
193;1668476969602255923;8
194;1668476969716071942;57
195;1668476969816615655;9
196;1668476969921009435;10
197;1668476970022924689;10
198;1668476970131476126;10
199;1668476970246126326;5
