FrameId;SendingTime;Fps
0;1668476945285330280;0
1;1668476945685072454;2
2;1668476946057805420;83
3;1668476946153300335;3
4;1668476946281526153;10
5;1668476946380617783;8
6;1668476946478868067;10
7;1668476946632590118;7
8;1668476946730666766;9
9;1668476946832581798;10
10;1668476946933788722;10
11;1668476947084118357;7
12;1668476947214633856;9
13;1668476947358826129;8
14;1668476947466361250;7
15;1668476947605750657;9
16;1668476947706515047;7
17;1668476947851314099;9
18;1668476947954165608;7
19;1668476948056009872;10
20;1668476948193842268;7
21;1668476948317435951;10
22;1668476948417094069;8
23;1668476948604299033;10
24;1668476948704999049;5
25;1668476948807648725;10
26;1668476948952238173;7
27;1668476949052479266;10
28;1668476949179296831;10
29;1668476949280871360;8
30;1668476949405525373;10
31;1668476949506944317;8
32;1668476949608586942;10
33;1668476949707426367;10
34;1668476949839082678;10
35;1668476949940161509;8
36;1668476950068196344;10
37;1668476950171378977;8
38;1668476950273400696;10
39;1668476950404720769;10
40;1668476950505689799;8
41;1668476950607471913;10
42;1668476950760144238;10
43;1668476950870119330;7
44;1668476951015974319;9
45;1668476951119362013;7
46;1668476951299767885;10
47;1668476951404729627;6
48;1668476951548500799;9
49;1668476951648306787;7
50;1668476951800504543;7
51;1668476951922240896;9
52;1668476952025036516;8
53;1668476952131717978;10
54;1668476952267528703;9
55;1668476952371524747;7
56;1668476952472597894;10
57;1668476952675826495;7
58;1668476953007305312;7
59;1668476953155543948;3
60;1668476953258976054;7
61;1668476953369238129;10
62;1668476953487854892;9
63;1668476953595591870;8
64;1668476953747356900;7
65;1668476953853804268;9
66;1668476953953811508;10
67;1668476954091607521;10
68;1668476954191893839;7
69;1668476954339017658;10
70;1668476954445346975;7
71;1668476954579204118;9
72;1668476954683844556;8
73;1668476954835437256;7
74;1668476954979187022;9
75;1668476955084526278;7
76;1668476955220142752;10
77;1668476955367084971;7
78;1668476955470921483;7
79;1668476955575372520;10
80;1668476955679502528;10
81;1668476955779962512;10
82;1668476955974891472;7
83;1668476956077605303;7
84;1668476956183569468;9
85;1668476956303712763;10
86;1668476956450530443;6
87;1668476956610087082;10
88;1668476956712358163;6
89;1668476956835701351;10
90;1668476956941629047;8
91;1668476957113905320;9
92;1668476957218976257;6
93;1668476957334987871;9
94;1668476957468820901;9
95;1668476957571184430;7
96;1668476957675694797;10
97;1668476957832635697;6
98;1668476957937957995;10
99;1668476958083328039;9
100;1668476958186445801;7
101;1668476958345001043;10
102;1668476958458476939;6
103;1668476958565855249;9
104;1668476958714434630;7
105;1668476958818818209;10
106;1668476958921895221;10
107;1668476959073905490;7
108;1668476959187969440;10
109;1668476959358561074;6
110;1668476959461990073;8
111;1668476959567524535;10
112;1668476959727021790;6
113;1668476959836326091;10
114;1668476959979443727;7
115;1668476960085586955;10
116;1668476960240397529;9
117;1668476960342790670;7
118;1668476960446194412;10
119;1668476960595015838;7
120;1668476960695548595;10
121;1668476960846530225;7
122;1668476960983482644;10
123;1668476961084026447;7
124;1668476961188184791;10
125;1668476961355784622;9
126;1668476961464975924;6
127;1668476961615045797;9
128;1668476961719916192;7
129;1668476961878493532;6
130;1668476961985067598;9
131;1668476962092624961;9
132;1668476962239238212;10
133;1668476962347857748;7
134;1668476962481829984;9
135;1668476962583152643;8
136;1668476962716433625;10
137;1668476962828012699;7
138;1668476962979119114;9
139;1668476963082946266;7
140;1668476963186987700;10
141;1668476963316422235;9
142;1668476963417353061;8
143;1668476963567420497;10
144;1668476963673522728;7
145;1668476963778310396;9
146;1668476963930390683;10
147;1668476964031742723;7
148;1668476964131757193;10
149;1668476964315031905;10
150;1668476964464332636;5
151;1668476964566180972;7
152;1668476964682546385;10
153;1668476964826400868;9
154;1668476964929397681;7
155;1668476965033706747;10
156;1668476965176153700;10
157;1668476965282775109;7
158;1668476965388541055;9
159;1668476965489631608;9
160;1668476965594444916;10
161;1668476965699168119;9
162;1668476965861881579;7
163;1668476965969205448;9
164;1668476966071698685;9
165;1668476966173777215;10
166;1668476966276159262;10
167;1668476966377057230;10
168;1668476966545812695;6
169;1668476966652662136;10
170;1668476966757417183;9
171;1668476966859586190;10
172;1668476966962527960;10
173;1668476967069592435;10
174;1668476967174119643;10
175;1668476967276751561;10
176;1668476967386351942;9
177;1668476967530349569;9
178;1668476967638180349;7
179;1668476967794013832;9
180;1668476967896964284;7
181;1668476968002143087;10
182;1668476968139051711;7
183;1668476968242348683;10
184;1668476968383214244;7
185;1668476968485751596;10
186;1668476968682105209;5
187;1668476968830430272;9
188;1668476968935585837;7
189;1668476969039118993;10
190;1668476969146829064;9
191;1668476969268518828;9
192;1668476969461667754;8
193;1668476969584866107;5
194;1668476969696477051;9
195;1668476969796855646;9
196;1668476969900113365;10
197;1668476970003426904;10
198;1668476970109579207;10
199;1668476970217244652;9
200;1668476970330425301;9
201;1668476970432355179;9
202;1668476970535173689;10
203;1668476970699078486;10
204;1668476970803470368;6
205;1668476970905199821;10
206;1668476971006527114;10
207;1668476971112654598;10
208;1668476971245940981;9
209;1668476971350311062;8
210;1668476971455385327;9
211;1668476971605887403;7
212;1668476971744188794;10
213;1668476971847240799;7
214;1668476972014445222;9
215;1668476972121948806;6
216;1668476972249324560;10
217;1668476972351557734;8
218;1668476972482156464;10
219;1668476972589840469;8
220;1668476972700325503;8
221;1668476972801045877;10
222;1668476972949748919;7
223;1668476973104704302;6
224;1668476973206884307;10
225;1668476973344122916;10
226;1668476973446700569;7
227;1668476973547430553;10
228;1668476973690211163;7
229;1668476973792186364;10
230;1668476973915791821;10
231;1668476974018385357;8
232;1668476974159819374;10
233;1668476974265595721;7
234;1668476974369586577;10
235;1668476974516499331;10
236;1668476974621095669;7
237;1668476974786613745;6
238;1668476974888459079;10
239;1668476975023996687;10
240;1668476975128581490;7
241;1668476975270883869;9
242;1668476975376752810;7
243;1668476975481093607;10
244;1668476975619828442;9
245;1668476975723572652;7
246;1668476975842185425;10
247;1668476975944831264;8
248;1668476976146385242;9
249;1668476976291227938;5
250;1668476976393054066;7
251;1668476976544268257;9
252;1668476976647252750;7
253;1668476976785988310;9
254;1668476976891799484;7
255;1668476977036249549;9
256;1668476977140285738;7
257;1668476977241498977;10
258;1668476977345213848;10
259;1668476977479049072;10
260;1668476977588220846;8
261;1668476977768334428;5
